FlightNumber,PayloadMass,Flights,Block,ReusedCount,Longitude,Latitude,Class,Date,BoosterVersion,Orbit,LaunchSite,Outcome,GridFins,Reused,Legs,LandingPad,Serial,Year
1.0,6104.959411764706,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2010,Falcon 9,LEO,CCAFS SLC 40,None None,False,False,False,,B0003,2010
2.0,525.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2012,Falcon 9,LEO,CCAFS SLC 40,None None,False,False,False,,B0005,2012
3.0,677.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2013,Falcon 9,ISS,CCAFS SLC 40,None None,False,False,False,,B0007,2013
4.0,500.0,1.0,1.0,0.0,-120.610829,34.632093,0.0,2013,Falcon 9,PO,VAFB SLC 4E,False Ocean,False,False,False,,B1003,2013
5.0,3170.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2013,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1004,2013
6.0,3325.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1005,2014
7.0,2296.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2014,Falcon 9,ISS,CCAFS SLC 40,True Ocean,False,False,True,,B1006,2014
8.0,1316.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2014,Falcon 9,LEO,CCAFS SLC 40,True Ocean,False,False,True,,B1007,2014
9.0,4535.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1008,2014
10.0,4428.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1011,2014
11.0,2216.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2014,Falcon 9,ISS,CCAFS SLC 40,False Ocean,False,False,False,,B1010,2014
12.0,2395.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,ISS,CCAFS SLC 40,False ASDS,True,False,True,5e9e3032383ecb761634e7cb,B1012,2015
13.0,570.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2015,Falcon 9,ES-L1,CCAFS SLC 40,True Ocean,True,False,True,,B1013,2015
14.0,1898.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,ISS,CCAFS SLC 40,False ASDS,True,False,True,5e9e3032383ecb761634e7cb,B1015,2015
15.0,4707.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,GTO,CCAFS SLC 40,None None,False,False,False,,B1016,2015
16.0,2477.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2015,Falcon 9,ISS,CCAFS SLC 40,None ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1018,2015
17.0,2034.0,1.0,1.0,0.0,-80.577366,28.5618571,1.0,2015,Falcon 9,LEO,CCAFS SLC 40,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1019,2015
18.0,553.0,1.0,1.0,0.0,-120.610829,34.632093,0.0,2016,Falcon 9,PO,VAFB SLC 4E,False ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1017,2016
19.0,5271.0,1.0,1.0,0.0,-80.577366,28.5618571,0.0,2016,Falcon 9,GTO,CCAFS SLC 40,False ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1020,2016
20.0,3136.0,1.0,2.0,1.0,-80.577366,28.5618571,1.0,2016,Falcon 9,ISS,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1021,2016
21.0,4696.0,1.0,2.0,0.0,-80.577366,28.5618571,1.0,2016,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1022,2016
22.0,3100.0,1.0,2.0,1.0,-80.577366,28.5618571,1.0,2016,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1023,2016
23.0,2257.0,1.0,2.0,1.0,-80.577366,28.5618571,1.0,2016,Falcon 9,ISS,CCAFS SLC 40,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1025,2016
24.0,4600.0,1.0,2.0,0.0,-80.577366,28.5618571,1.0,2016,Falcon 9,GTO,CCAFS SLC 40,True ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1026,2016
25.0,5500.0,1.0,3.0,0.0,-80.577366,28.5618571,0.0,2016,Falcon 9,GTO,CCAFS SLC 40,None ASDS,True,False,True,5e9e3032383ecb6bb234e7ca,B1028,2016
26.0,9600.0,1.0,3.0,1.0,-120.610829,34.632093,1.0,2017,Falcon 9,PO,VAFB SLC 4E,True ASDS,True,False,True,5e9e3033383ecbb9e534e7cc,B1029,2017
27.0,2490.0,1.0,3.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,ISS,KSC LC 39A,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1031,2017
28.0,5600.0,1.0,3.0,0.0,-80.6039558,28.6080585,0.0,2017,Falcon 9,GTO,KSC LC 39A,None None,False,False,False,,B1030,2017
29.0,5300.0,2.0,2.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,GTO,KSC LC 39A,True ASDS,True,True,True,5e9e3032383ecb6bb234e7ca,B1021,2017
30.0,6104.959411764706,1.0,3.0,1.0,-80.6039558,28.6080585,1.0,2017,Falcon 9,LEO,KSC LC 39A,True RTLS,True,False,True,5e9e3032383ecb267a34e7c7,B1032,2017
31.0,6070.0,1.0,3.0,0.0,-80.6039558,28.6080585,0.0,2017,Falcon 9,GTO,KSC LC 39A,None None,False,False,False,,B1034,2017
